 

stn    time           rre150d0
LSN    19000101            1.9
LSN    19000102            6.8
LSN    19000103           33.8
LSN    19000104           10.2
LSN    19000105            6.1
LSN    19000106            0.0
LSN    19000107            0.5
LSN    19000108            0.5
LSN    19000109            2.0
LSN    19000110            6.5
LSN    19000111            4.0
LSN    19000112            0.0
LSN    19000113            0.0
LSN    19000114            0.0
LSN    19000115            6.2
LSN    19000116           19.4
LSN    19000117           12.4
LSN    19000118            7.8
LSN    19000119            0.0
LSN    19000120            0.0
LSN    19000121            1.7
LSN    19000122            0.1
LSN    19000123            0.0
LSN    19000124           14.0
LSN    19000125            3.5
LSN    19000126            0.0
LSN    19000127           10.5
LSN    19000128            3.4
LSN    19000129            0.3
LSN    19000130            2.1
LSN    19000131            0.0
LSN    19000201            0.0
LSN    19000202            4.1
LSN    19000203            0.0
LSN    19000204            0.0
LSN    19000205            0.1
LSN    19000206            0.6
LSN    19000207            0.0
LSN    19000208            0.0
LSN    19000209            3.7
LSN    19000210            0.6
LSN    19000211            3.4
LSN    19000212           42.5
LSN    19000213           10.1
LSN    19000214            1.1
LSN    19000215            0.2
LSN    19000216            1.7
LSN    19000217            0.5
LSN    19000218            5.7
LSN    19000219           17.9
LSN    19000220            2.1
LSN    19000221            1.5
LSN    19000222            0.5
LSN    19000223            0.0
LSN    19000224            0.0
LSN    19000225            0.0
LSN    19000226           14.6
LSN    19000227            3.5
LSN    19000228            1.4
LSN    19000301            2.2
LSN    19000302            0.0
LSN    19000303            0.0
LSN    19000304            0.0
LSN    19000305            0.0
LSN    19000306            0.0
LSN    19000307            0.0
LSN    19000308            0.0
LSN    19000309            0.0
LSN    19000310            0.0
LSN    19000311            1.0
LSN    19000312            0.0
LSN    19000313            0.0
LSN    19000314            0.0
LSN    19000315            0.0
LSN    19000316            0.0
LSN    19000317            1.1
LSN    19000318            0.2
LSN    19000319            0.0
LSN    19000320            1.0
LSN    19000321            0.0
LSN    19000322            6.8
LSN    19000323            1.4
LSN    19000324           12.7
LSN    19000325            0.2
LSN    19000326            0.0
LSN    19000327           10.0
LSN    19000328            0.1
LSN    19000329            1.0
LSN    19000330            0.9
LSN    19000331            0.0
LSN    19000401            0.0
LSN    19000402            0.1
LSN    19000403            0.0
LSN    19000404            5.0
LSN    19000405            7.8
LSN    19000406            0.2
LSN    19000407            2.9
LSN    19000408            0.3
LSN    19000409            0.0
LSN    19000410            0.0
LSN    19000411            0.6
LSN    19000412            5.3
LSN    19000413            4.3
LSN    19000414            0.0
LSN    19000415            0.0
LSN    19000416            3.7
LSN    19000417            0.1
LSN    19000418            0.0
LSN    19000419            0.0
LSN    19000420            0.0
LSN    19000421            0.0
LSN    19000422            0.0
LSN    19000423            0.9
LSN    19000424            0.5
LSN    19000425            0.3
LSN    19000426            0.0
LSN    19000427            4.0
LSN    19000428            0.2
LSN    19000429            6.0
LSN    19000430            3.7
LSN    19000501            0.0
LSN    19000502            0.0
LSN    19000503            0.8
LSN    19000504            0.0
LSN    19000505            0.0
LSN    19000506            0.0
LSN    19000507           20.2
LSN    19000508            2.0
LSN    19000509            1.0
LSN    19000510            0.0
LSN    19000511            0.0
LSN    19000512            0.5
LSN    19000513            5.9
LSN    19000514            7.0
LSN    19000515            3.0
LSN    19000516            0.1
LSN    19000517            0.0
LSN    19000518            0.0
LSN    19000519            0.9
LSN    19000520            0.0
LSN    19000521            0.0
LSN    19000522            0.0
LSN    19000523           15.0
LSN    19000524            5.0
LSN    19000525            0.7
LSN    19000526            2.0
LSN    19000527            0.0
LSN    19000528            0.0
LSN    19000529            0.0
LSN    19000530            0.0
LSN    19000531            0.0
LSN    19000601            0.0
LSN    19000602            0.0
LSN    19000603            0.0
LSN    19000604            0.0
LSN    19000605            1.0
LSN    19000606            0.0
LSN    19000607            1.4
LSN    19000608            0.0
LSN    19000609            0.0
LSN    19000610            0.0
LSN    19000611            0.0
LSN    19000612            3.1
