 

stn;time;rhh150dx;rre150d0
BLA;20010301;-;3.2
BLA;20010302;-;22.5
BLA;20010303;-;10.6
BLA;20010304;-;15.6
BLA;20010305;-;0.1
BLA;20010306;-;1.0
BLA;20010307;-;1.9
BLA;20010308;-;6.2
BLA;20010309;-;1.2
BLA;20010310;-;7.8
BLA;20010311;-;11.4
BLA;20010312;-;7.7
BLA;20010313;-;12.1
BLA;20010314;-;11.4
BLA;20010315;-;0.0
BLA;20010316;-;0.0
BLA;20010317;-;3.4
BLA;20010318;-;6.9
BLA;20010319;-;2.4
BLA;20010320;-;17.4
BLA;20010321;-;27.8
BLA;20010322;-;1.5
BLA;20010323;-;0.0
BLA;20010324;-;4.5
BLA;20010325;-;8.4
BLA;20010326;-;0.3
BLA;20010327;-;0.0
BLA;20010328;-;0.0
BLA;20010329;-;4.5
BLA;20010330;-;0.2
BLA;20010331;-;0.0
BLA;20010401;-;0.0
BLA;20010402;-;0.0
BLA;20010403;-;0.0
BLA;20010404;-;9.9
BLA;20010405;-;8.6
BLA;20010406;-;20.2
BLA;20010407;-;5.5
BLA;20010408;-;8.2
BLA;20010409;-;20.4
BLA;20010410;-;7.0
BLA;20010411;-;0.0
BLA;20010412;-;0.0
BLA;20010413;-;0.0
BLA;20010414;-;3.6
BLA;20010415;-;28.4
BLA;20010416;-;2.4
BLA;20010417;-;0.0
BLA;20010418;-;1.4
BLA;20010419;-;1.2
BLA;20010420;-;0.2
BLA;20010421;-;0.1
BLA;20010422;-;0.0
BLA;20010423;-;1.0
BLA;20010424;-;0.4
BLA;20010425;-;8.7
BLA;20010426;-;0.0
BLA;20010427;-;0.0
BLA;20010428;-;0.0
BLA;20010429;-;0.0
BLA;20010430;-;0.0
BLA;20010501;-;0.1
BLA;20010502;-;11.5
BLA;20010503;-;0.0
BLA;20010504;-;0.5
BLA;20010505;-;0.0
BLA;20010506;-;0.4
BLA;20010507;-;0.0
BLA;20010508;-;0.0
BLA;20010509;-;0.1
BLA;20010510;-;0.1
BLA;20010511;-;0.0
BLA;20010512;-;0.0
BLA;20010513;-;0.0
BLA;20010514;-;0.8
BLA;20010515;-;3.2
BLA;20010516;-;0.0
BLA;20010517;-;14.2
BLA;20010518;-;0.0
BLA;20010519;-;0.0
BLA;20010520;-;0.0
BLA;20010521;-;0.0
BLA;20010522;-;0.0
BLA;20010523;-;0.0
BLA;20010524;-;1.3
BLA;20010525;-;0.0
BLA;20010526;-;0.0
BLA;20010527;-;0.0
BLA;20010528;-;0.0
BLA;20010529;-;0.0
BLA;20010530;-;0.0
BLA;20010531;-;13.0
BLA;20010601;-;0.0
BLA;20010602;-;12.4
BLA;20010603;-;8.3
BLA;20010604;-;0.0
BLA;20010605;-;13.7
BLA;20010606;-;4.9
BLA;20010607;-;0.0
BLA;20010608;-;19.4
BLA;20010609;-;22.3
BLA;20010610;-;8.4
BLA;20010611;-;0.8
BLA;20010612;-;0.0
BLA;20010613;-;5.7
BLA;20010614;-;0.1
BLA;20010615;-;24.7
BLA;20010616;-;13.7
BLA;20010617;-;3.5
BLA;20010618;-;0.0
BLA;20010619;-;0.0
BLA;20010620;-;0.0
BLA;20010621;-;0.0
BLA;20010622;-;0.0
BLA;20010623;-;0.0
BLA;20010624;-;0.0
BLA;20010625;-;0.0
BLA;20010626;-;0.5
BLA;20010627;-;23.5
BLA;20010628;-;3.0
BLA;20010629;-;0.0
BLA;20010630;-;0.1
BLA;20010701;-;0.0
BLA;20010702;-;0.0
BLA;20010703;-;0.0
BLA;20010704;-;2.0
BLA;20010705;-;0.0
BLA;20010706;-;0.0
BLA;20010707;-;26.2
BLA;20010708;-;10.0
BLA;20010709;-;0.0
BLA;20010710;-;0.0
BLA;20010711;-;0.0
BLA;20010712;-;0.0
BLA;20010713;-;0.1
BLA;20010714;-;2.6
BLA;20010715;-;61.4
BLA;20010716;-;0.5
BLA;20010717;-;2.7
BLA;20010718;-;7.9
BLA;20010719;-;3.8
BLA;20010720;-;1.0
BLA;20010721;-;0.0
BLA;20010722;-;0.0
BLA;20010723;-;6.0
BLA;20010724;-;0.0
BLA;20010725;-;0.0
BLA;20010726;-;0.0
BLA;20010727;-;0.0
BLA;20010728;-;0.9
BLA;20010729;-;0.0
BLA;20010730;-;0.0
BLA;20010731;-;0.0
BLA;20010801;-;0.0
BLA;20010802;-;0.7
BLA;20010803;-;15.9
BLA;20010804;-;0.0
BLA;20010805;-;0.0
BLA;20010806;-;2.8
BLA;20010807;-;0.5
BLA;20010808;-;13.6
BLA;20010809;-;11.6
BLA;20010810;-;0.1
BLA;20010811;-;0.0
BLA;20010812;-;0.0
BLA;20010813;-;0.0
BLA;20010814;-;0.0
BLA;20010815;-;0.6
BLA;20010816;-;0.1
BLA;20010817;-;7.5
BLA;20010818;-;0.3
BLA;20010819;-;10.8
BLA;20010820;-;3.8
BLA;20010821;-;0.0
BLA;20010822;-;0.0
BLA;20010823;-;0.0
BLA;20010824;-;0.0
BLA;20010825;-;0.0
BLA;20010826;-;0.0
BLA;20010827;-;0.0
BLA;20010828;-;0.0
BLA;20010829;-;6.7
BLA;20010830;-;4.7
BLA;20010831;-;3.2
BLA;20010901;-;0.3
BLA;20010902;-;0.0
BLA;20010903;-;4.7
BLA;20010904;-;14.4
BLA;20010905;-;0.0
BLA;20010906;-;5.7
BLA;20010907;-;3.8
BLA;20010908;-;16.6
BLA;20010909;-;2.8
BLA;20010910;-;0.0
BLA;20010911;-;0.0
BLA;20010912;-;0.0
BLA;20010913;-;1.8
BLA;20010914;-;6.5
BLA;20010915;-;0.3
BLA;20010916;-;11.2
BLA;20010917;-;1.0
BLA;20010918;-;0.0
BLA;20010919;-;0.0
BLA;20010920;-;0.4
BLA;20010921;-;0.0
BLA;20010922;-;0.4
BLA;20010923;-;3.7
BLA;20010924;-;3.1
BLA;20010925;-;1.6
BLA;20010926;-;0.0
BLA;20010927;-;0.0
BLA;20010928;-;0.0
BLA;20010929;-;4.0
BLA;20010930;-;1.4
BLA;20011001;-;0.0
BLA;20011002;-;0.0
BLA;20011003;-;3.4
BLA;20011004;-;0.1
BLA;20011005;-;0.1
BLA;20011006;-;0.4
BLA;20011007;-;10.6
BLA;20011008;-;0.1
BLA;20011009;-;0.0
BLA;20011010;-;0.0
BLA;20011011;-;0.0
